Runs,Accuracy,Model,Dataset,,Slope,Slope of Slope,,,
3552900,0.84859854,DNN,1,,1.21E-08,2.66E-14,,,
3644000,0.84948134,DNN,1,,9.69E-09,-2.66E-14,,,
3735100,0.85102624,DNN,1,,1.70E-08,7.98E-14,,,
3826200,0.85146767,DNN,1,,4.85E-09,-1.33E-13,,,
3917300,0.85190904,DNN,1,,4.85E-09,0,,,
4008400,0.8523505,DNN,1,,4.85E-09,0,,,
4099500,0.8543368,DNN,1,,2.18E-08,1.86E-13,,,
4190600,0.8543368,DNN,1,,0,-2.39E-13,,,
4281700,0.8549989,DNN,1,,7.27E-09,7.98E-14,,,
92200,0.5653403,DNN,2,,,,,,
184400,0.42096108,DNN,2,,-1.57E-06,,,,
276600,0.38203958,DNN,2,,-4.22E-07,1.24E-11,,,
368800,0.39726028,DNN,2,,1.65E-07,6.37E-12,,,
461000,0.44748858,DNN,2,,5.45E-07,4.12E-12,,,
553200,0.4885845,DNN,2,,4.46E-07,-1.07E-12,,,
645400,0.52946293,DNN,2,,4.43E-07,-2.56E-14,,,
737600,0.57295066,DNN,2,,4.72E-07,3.07E-13,,,
829800,0.5940422,DNN,2,,2.29E-07,-2.63E-12,,,
922000,0.62600565,DNN,2,,3.47E-07,1.28E-12,,,
1014200,0.64535767,DNN,2,,2.10E-07,-1.48E-12,,,
1106400,0.65644705,DNN,2,,1.20E-07,-9.72E-13,,,
1198600,0.6666667,DNN,2,,1.11E-07,-1.02E-13,,,
1290800,0.6788432,DNN,2,,1.32E-07,2.30E-13,,,
1383000,0.68732333,DNN,2,,9.20E-08,-4.35E-13,,,
1475200,0.6916721,DNN,2,,4.72E-08,-4.86E-13,,,
1567400,0.6923244,DNN,2,,7.07E-09,-4.35E-13,,,
1659600,0.6899326,DNN,2,,-2.59E-08,-3.58E-13,,,
1751800,0.69580346,DNN,2,,6.37E-08,9.72E-13,,,
1844000,0.68580127,DNN,2,,-1.08E-07,-1.87E-12,,,
1936200,0.679713,DNN,2,,-6.60E-08,4.60E-13,,,
2028400,0.6842792,DNN,2,,4.95E-08,1.25E-12,,,
2120600,0.6838443,DNN,2,,-4.72E-09,-5.88E-13,,,
2212800,0.6918895,DNN,2,,8.73E-08,9.98E-13,,,
2305000,0.704501,DNN,2,,1.37E-07,5.37E-13,,,
2397200,0.7197217,DNN,2,,1.65E-07,3.07E-13,,,
2489400,0.74472713,DNN,2,,2.71E-07,1.15E-12,,,
2581600,0.6449606,DNN,2,,-1.08E-06,-1.47E-11,,,
2673800,0.778865,DNN,2,,1.45E-06,2.75E-11,,,
2766000,0.7914764,DNN,2,,1.37E-07,-1.43E-11,,,
2858200,0.8010437,DNN,2,,1.04E-07,-3.58E-13,,,
2950400,0.8093064,DNN,2,,8.96E-08,-1.53E-13,,,
3042600,0.8145249,DNN,2,,5.66E-08,-3.58E-13,,,
3134800,0.8180039,DNN,2,,3.77E-08,-2.05E-13,,,
3227000,0.8210481,DNN,2,,3.30E-08,-5.11E-14,,,
3319200,0.82148296,DNN,2,,4.72E-09,-3.07E-13,,,
3411400,0.8275712,DNN,2,,6.60E-08,6.65E-13,,,
3503600,0.83061534,DNN,2,,3.30E-08,-3.58E-13,,,
3595800,0.83170253,DNN,2,,1.18E-08,-2.30E-13,,,
3688000,0.83365947,DNN,2,,2.12E-08,1.02E-13,,,
3780200,0.8349641,DNN,2,,1.42E-08,-7.67E-14,,,
3872400,0.8349641,DNN,2,,0,-1.53E-13,,,
3964600,0.83670366,DNN,2,,1.89E-08,2.05E-13,,,
4056800,0.83779085,DNN,2,,1.18E-08,-7.67E-14,,,
4149000,0.8386606,DNN,2,,9.43E-09,-2.56E-14,,,
92100,0.54455876,DNN,3,,,,,,
184200,0.54039854,DNN,3,,-4.51707E-08,,,,
276300,0.6282023,DNN,3,,9.53352E-07,1.08417E-11,,,
368400,0.5984235,DNN,3,,-3.23331E-07,-1.38619E-11,,,
460500,0.60543025,DNN,3,,7.60776E-08,4.33669E-12,,,
552600,0.6084957,DNN,3,,3.32839E-08,-4.64644E-13,,,
644700,0.6538209,DNN,3,,4.9213E-07,4.98205E-12,,,
736800,0.68535143,DNN,3,,3.42351E-07,-1.62627E-12,,,
828900,0.6947668,DNN,3,,1.0223E-07,-2.60718E-12,,,
921000,0.71009415,DNN,3,,1.66421E-07,6.96969E-13,,,
1013100,0.722356,DNN,3,,1.33136E-07,-3.61395E-13,,,
1105200,0.7269542,DNN,3,,4.99262E-08,-9.03476E-13,,,
1197300,0.73834026,DNN,3,,1.23627E-07,8.00228E-13,,,
1289400,0.74228156,DNN,3,,4.27937E-08,-8.7767E-13,,,
1381500,0.7468798,DNN,3,,4.99266E-08,7.74473E-14,,,
1473600,0.7501642,DNN,3,,3.56612E-08,-1.5489E-13,,,
1565700,0.75695205,DNN,3,,7.37009E-08,4.13025E-13,,,
1657800,0.75760895,DNN,3,,7.13246E-09,-7.22784E-13,,,
1749900,0.7624261,DNN,3,,5.23035E-08,4.90456E-13,,,
1842000,0.76549155,DNN,3,,3.32839E-08,-2.0651E-13,,,
1934100,0.77140355,DNN,3,,6.41911E-08,3.35583E-13,,,
2026200,0.77490693,DNN,3,,3.80389E-08,-2.83955E-13,,,
2118300,0.77709657,DNN,3,,2.37746E-08,-1.54878E-13,,,
2210400,0.7821327,DNN,3,,5.46811E-08,3.35576E-13,,,
2302500,0.78476024,DNN,3,,2.85292E-08,-2.83951E-13,,,
2394600,0.7873878,DNN,3,,2.85294E-08,2.35782E-18,,,
2486700,0.79023427,DNN,3,,3.09063E-08,2.58075E-14,,,
2578800,0.7937377,DNN,3,,3.80394E-08,7.74497E-14,,,
2670900,0.79505146,DNN,3,,1.42645E-08,-2.58142E-13,,,
2763000,0.7983359,DNN,3,,3.56617E-08,2.32325E-13,,,
2855100,0.7994307,DNN,3,,1.18871E-08,-2.58139E-13,,,
2947200,0.8040289,DNN,3,,4.99262E-08,4.13019E-13,,,
3039300,0.8059996,DNN,3,,2.13974E-08,-3.09759E-13,,,
3131400,0.80840814,DNN,3,,2.61514E-08,5.16174E-14,,,
3223500,0.8108167,DNN,3,,2.61516E-08,2.35782E-18,,,
3315600,0.8125684,DNN,3,,1.90195E-08,-7.74379E-14,,,
3407700,0.814977,DNN,3,,2.6152E-08,7.74426E-14,,,
3499800,0.8165097,DNN,3,,1.66417E-08,-1.03261E-13,,,
3591900,0.81848043,DNN,3,,2.13977E-08,5.16398E-14,,,
3684000,0.8215459,DNN,3,,3.32841E-08,1.2906E-13,,,
3776100,0.8243924,DNN,3,,3.09066E-08,-2.58146E-14,,,
3868200,0.826582,DNN,3,,2.37742E-08,-7.74426E-14,,,
3960300,0.82877165,DNN,3,,2.37747E-08,5.89455E-18,,,
4052400,0.8318371,DNN,3,,3.32839E-08,1.03249E-13,,,
4144500,0.83315086,DNN,3,,1.42645E-08,-2.06509E-13,,,
4236501,0.83687323,DNN,3,,4.04601E-08,2.84732E-13,,,
91100,0.3743103,DNN,4,,,,,,
182200,0.43522403,DNN,4,,6.68647E-07,,,,
273300,0.53498125,DNN,4,,1.09503E-06,4.68038E-12,,,
364400,0.60847497,DNN,4,,8.06737E-07,-3.16458E-12,,,
455500,0.6497462,DNN,4,,4.53032E-07,-3.8826E-12,,,
546600,0.66762304,DNN,4,,1.96233E-07,-2.81887E-12,,,
637700,0.67909956,DNN,4,,1.25977E-07,-7.71196E-13,,,
728800,0.67998236,DNN,4,,9.69045E-09,-1.27647E-12,,,
819900,0.6852792,DNN,4,,5.81431E-08,5.31863E-13,,,
911000,0.69123816,DNN,4,,6.54112E-08,7.97811E-14,,,
1002100,0.6980799,DNN,4,,7.51014E-08,1.06369E-13,,,
1093200,0.70050764,DNN,4,,2.66492E-08,-5.31858E-13,,,
1184300,0.70381814,DNN,4,,3.63392E-08,1.06367E-13,,,
1275400,0.70558375,DNN,4,,1.9381E-08,-1.86149E-13,,,
1366500,0.7088943,DNN,4,,3.63397E-08,1.86155E-13,,,
1457600,0.7104392,DNN,4,,1.69583E-08,-2.12749E-13,,,
1548700,0.7137497,DNN,4,,3.63392E-08,2.12743E-13,,,
1639800,0.71683955,DNN,4,,3.39171E-08,-2.65869E-14,,,
1730900,0.71838444,DNN,4,,1.69582E-08,-1.86157E-13,,,
1822000,0.72015005,DNN,4,,1.9381E-08,2.65953E-14,,,
1913100,0.72544694,DNN,4,,5.81437E-08,4.25496E-13,,,
2004200,0.7294195,DNN,4,,4.36066E-08,-1.59573E-13,,,
2095300,0.7344957,DNN,4,,5.57212E-08,1.32981E-13,,,
2186400,0.73824763,DNN,4,,4.11847E-08,-1.59566E-13,,,
2277500,0.74442726,DNN,4,,6.78335E-08,2.92522E-13,,,
2368600,0.7477378,DNN,4,,3.63396E-08,-3.45706E-13,,,
2459700,0.75325537,DNN,4,,6.05661E-08,2.65933E-13,,,
2550800,0.75987643,DNN,4,,7.2679E-08,1.32963E-13,,,
2641900,0.76605606,DNN,4,,6.78335E-08,-5.31894E-14,,,
2733000,0.774222,DNN,4,,8.96371E-08,2.39337E-13,,,
2824100,0.7812845,DNN,4,,7.75247E-08,-1.32957E-13,,,
2915200,0.7839329,DNN,4,,2.90714E-08,-5.3187E-13,,,
3006300,0.78834695,DNN,4,,4.84528E-08,2.12749E-13,,,
3097400,0.7914368,DNN,4,,3.39171E-08,-1.59557E-13,,,
3188500,0.7954094,DNN,4,,4.3607E-08,1.06366E-13,,,
3279600,0.79871994,DNN,4,,3.63396E-08,-7.97739E-14,,,
3370700,0.8015891,DNN,4,,3.14946E-08,-5.31834E-14,,,
3461800,0.8051203,DNN,4,,3.87618E-08,7.97714E-14,,,
3552900,0.8093136,DNN,4,,4.60296E-08,7.97787E-14,,,
3644000,0.81063783,DNN,4,,1.4536E-08,-3.45704E-13,,,
3735100,0.81328624,DNN,4,,2.90715E-08,1.59555E-13,,,
3826200,0.8161554,DNN,4,,3.14946E-08,2.65989E-14,,,
3917300,0.8196866,DNN,4,,3.87618E-08,7.97714E-14,,,
4008400,0.8210108,DNN,4,,1.45357E-08,-2.65929E-13,,,
4099500,0.822335,DNN,4,,1.45357E-08,0,,,
90800,0.36147186,DNN,5,,,,,,
181600,0.37748918,DNN,5,,1.76402E-07,,,,
272400,0.5030303,DNN,5,,1.38261E-06,1.32842E-11,,,
363200,0.54848486,DNN,5,,5.00601E-07,-9.71377E-12,,,
454000,0.4443723,DNN,5,,-1.14661E-06,-1.81411E-11,,,
544800,0.51363635,DNN,5,,7.6282E-07,2.1029E-11,,,
635600,0.57575756,DNN,5,,6.84154E-07,-8.66362E-13,,,
726400,0.60064936,DNN,5,,2.74139E-07,-4.51559E-12,,,
817200,0.6515151,DNN,5,,5.60195E-07,3.1504E-12,,,
908000,0.53203464,DNN,5,,-1.31586E-06,-2.06614E-11,,,
998800,0.545671,DNN,5,,1.5018E-07,1.61459E-11,,,
1089600,0.65800864,DNN,5,,1.2372E-06,1.19716E-11,,,
1180400,0.7502164,DNN,5,,1.0155E-06,-2.44157E-12,,,
1271200,0.7898268,DNN,5,,4.36238E-07,-6.37958E-12,,,
1362000,0.8084416,DNN,5,,2.05009E-07,-2.54658E-12,,,
1452800,0.7939394,DNN,5,,-1.59716E-07,-4.01679E-12,,,
1543600,0.7616883,DNN,5,,-3.55188E-07,-2.15278E-12,,,
1634400,0.78549784,DNN,5,,2.6222E-07,6.79965E-12,,,
1725200,0.8049784,DNN,5,,2.14544E-07,-5.25066E-13,,,
1816000,0.7969697,DNN,5,,-8.82015E-08,-3.3342E-12,,,
1906800,0.7694805,DNN,5,,-3.02744E-07,-2.36281E-12,,,
1997600,0.74523807,DNN,5,,-2.66987E-07,3.93804E-13,," 1,174,275 ",
2088400,0.72683984,DNN,5,,-2.02624E-07,7.08848E-13,,,
2179200,0.71493506,DNN,5,,-1.3111E-07,7.87597E-13,,,
2270000,0.70800865,DNN,5,,-7.6282E-08,6.03831E-13,,,
2360800,0.7069264,DNN,5,,-1.19191E-08,7.08844E-13,,,
2451600,0.7034632,DNN,5,,-3.8141E-08,-2.88788E-13,,,
2542400,0.6982684,DNN,5,,-5.72115E-08,-2.10027E-13,,,
2633200,0.69285715,DNN,5,,-5.95953E-08,-2.62534E-14,,,
2724000,0.68679655,DNN,5,,-6.67467E-08,-7.87603E-14,,,
2814800,0.68333334,DNN,5,,-3.81411E-08,3.1504E-13,,,
2905600,0.682684,DNN,5,,-7.15132E-09,3.41297E-13,,,
2996400,0.67813855,DNN,5,,-5.006E-08,-4.72563E-13,,,
3087200,0.67186147,DNN,5,,-6.91308E-08,-2.10031E-13,,,
3178000,0.6722944,DNN,5,,4.76795E-09,8.13863E-13,,,
3268800,0.68095237,DNN,5,,9.53521E-08,9.97623E-13,,,
3359600,0.6852814,DNN,5,,4.76765E-08,-5.25061E-13,,,
3450400,0.69285715,DNN,5,,8.34334E-08,3.93798E-13,,,
3541200,0.69891775,DNN,5,,6.67467E-08,-1.83774E-13,,,
3632000,0.7095238,DNN,5,,1.16807E-07,5.51322E-13,,,
3722800,0.71796536,DNN,5,,9.29687E-08,-2.62533E-13,,,
3813600,0.728355,DNN,5,,1.14423E-07,2.36284E-13,,,
3904400,0.73008657,DNN,5,,1.90702E-08,-1.05015E-12,,,
3995200,0.73030305,DNN,5,,2.38414E-09,-1.83767E-13,,,
4086000,0.72770566,DNN,5,,-2.86056E-08,-3.41297E-13,,,
4176800,0.7305195,DNN,5,,3.09894E-08,6.56333E-13,,,
4267600,0.72316015,DNN,5,,-8.10501E-08,-1.23392E-12,,,
4358400,0.7125541,DNN,5,,,,,,
90600,0.65383774,DNN,32-1,,1.3758E-08,,,,
181200,0.6938552,DNN,32-1,,4.41694E-07,4.72335E-12,,,
271800,0.7609884,DNN,32-1,,7.40985E-07,3.30343E-12,,,
362400,0.7924776,DNN,32-1,,3.47563E-07,-4.3424E-12,,,
453000,0.81106496,DNN,32-1,,2.05158E-07,-1.57179E-12,,,
543600,0.8252788,DNN,32-1,,1.56886E-07,-5.32813E-13,,,
634200,0.8359939,DNN,32-1,,1.18268E-07,-4.26241E-13,,,
724800,0.84495956,DNN,32-1,,9.89587E-08,-2.13129E-13,,,
815400,0.85020775,DNN,32-1,,5.7927E-08,-4.52888E-13,,,
906000,0.8539252,DNN,32-1,,4.10315E-08,-1.86485E-13,,,
996600,0.86048543,DNN,32-1,,7.24087E-08,3.46327E-13,,,
1087200,0.8637656,DNN,32-1,,3.6205E-08,-3.996E-13,,,
1177800,0.8683578,DNN,32-1,,5.06865E-08,1.59841E-13,,,
1268400,0.8698885,DNN,32-1,,1.68951E-08,-3.72973E-13,,,
1359000,0.8716379,DNN,32-1,,1.93091E-08,2.66436E-14,,,
1449600,0.8729499,DNN,32-1,,1.44812E-08,-5.32871E-14,,,
1540200,0.8729499,DNN,32-1,,0,-1.59837E-13,,,
1630800,0.87448066,DNN,32-1,,1.68958E-08,1.86488E-13,,,
1721400,0.874918,DNN,32-1,,4.82715E-09,-1.33208E-13,,,
1812000,0.8757927,DNN,32-1,,9.65453E-09,5.32823E-14,,,
1902600,0.87623006,DNN,32-1,,4.82737E-09,-5.32798E-14,,,
1993200,0.87644875,DNN,32-1,,2.4138E-09,-2.66399E-14,,,
2083800,0.87688607,DNN,32-1,,4.82693E-09,2.6635E-14,,,
2174400,0.87776077,DNN,32-1,,9.65453E-09,5.32847E-14,,,
2265000,0.87907284,DNN,32-1,,1.4482E-08,5.32835E-14,,,
2355600,0.87994754,DNN,32-1,,9.65453E-09,-5.32835E-14,,,
2446200,0.87951016,DNN,32-1,,-4.82759E-09,-1.59847E-13,,,
2536800,0.87972885,DNN,32-1,,2.4138E-09,7.9927E-14,,,
2627400,0.88082224,DNN,32-1,,1.20683E-08,1.06562E-13,,,
2718000,0.88235295,DNN,32-1,,1.68953E-08,5.32774E-14,,,
2808600,0.88322765,DNN,32-1,,9.65453E-09,-7.99197E-14,,,
2899200,0.88366497,DNN,32-1,,4.82693E-09,-5.32847E-14,,,
2989800,0.88497704,DNN,32-1,,1.4482E-08,1.06568E-13,,,
3080400,0.88541436,DNN,32-1,,4.82693E-09,-1.06568E-13,,,
3171000,0.88519573,DNN,32-1,,-2.41313E-09,-7.99124E-14,,,
3261600,0.88519573,DNN,32-1,,0,2.6635E-14,,,
3352200,0.88563305,DNN,32-1,,4.82693E-09,5.32774E-14,,,
3442800,0.88585174,DNN,32-1,,2.4138E-09,-2.6635E-14,,,
3533400,0.88672644,DNN,32-1,,9.65453E-09,7.99197E-14,,,
3624000,0.88716376,DNN,32-1,,4.82693E-09,-5.32847E-14,,,
3714600,0.88672644,DNN,32-1,,-4.82693E-09,-1.06555E-13,,,
3805200,0.88650775,DNN,32-1,,-2.4138E-09,2.6635E-14,,,
3895800,0.88672644,DNN,32-1,,2.4138E-09,5.32847E-14,,,
3986400,0.88650775,DNN,32-1,,-2.4138E-09,-5.32847E-14,,,
4077000,0.8869451,DNN,32-1,,,,,,
90600,0.61032146,DNN,32-2,,6.93918E-08,,,,
181200,0.6549311,DNN,32-2,,4.9238E-07,4.66874E-12,,,
271800,0.6938552,DNN,32-2,,4.29626E-07,-6.92652E-13,,,
362400,0.7277498,DNN,32-2,,3.74113E-07,-6.12729E-13,,,
453000,0.7583643,DNN,32-2,,3.37908E-07,-3.99605E-13,,,
543600,0.7647059,DNN,32-2,,6.99956E-08,-2.95709E-12,,,
634200,0.77651435,DNN,32-2,,1.30336E-07,6.6601E-13,,,
724800,0.78613603,DNN,32-2,,1.062E-07,-2.66408E-13,,,
815400,0.7940083,DNN,32-2,,8.68904E-08,-2.13125E-13,,,
906000,0.802974,DNN,32-2,,9.89592E-08,1.33209E-13,,,
996600,0.81019026,DNN,32-2,,7.96497E-08,-2.13129E-13,,,
1087200,0.81740654,DNN,32-2,,7.96499E-08,2.43654E-18,,,
1177800,0.82484144,DNN,32-2,,8.20629E-08,2.66338E-14,,,
1268400,0.829871,DNN,32-2,,5.55139E-08,-2.93035E-13,,,
1359000,0.8327138,DNN,32-2,,3.13775E-08,-2.66406E-13,,,
1449600,0.8368686,DNN,32-2,,4.58587E-08,1.59837E-13,,,
1540200,0.8394927,DNN,32-2,,2.89636E-08,-1.86481E-13,,,
1630800,0.8425541,DNN,32-2,,3.37903E-08,5.3275E-14,,,
1721400,0.84408486,DNN,32-2,,1.68958E-08,-1.86473E-13,,,
1812000,0.8462716,DNN,32-2,,2.41362E-08,7.99161E-14,,,
1902600,0.84758365,DNN,32-2,,1.44818E-08,-1.06561E-13,,,
1993200,0.85064507,DNN,32-2,,3.37905E-08,2.13121E-13,,,
2083800,0.85239446,DNN,32-2,,1.93089E-08,-1.59841E-13,,,
2174400,0.85348785,DNN,32-2,,1.20683E-08,-7.99185E-14,,,
2265000,0.8556746,DNN,32-2,,2.41363E-08,1.33201E-13,,,
2355600,0.85720533,DNN,32-2,,1.68955E-08,-7.9921E-14,,,
2446200,0.85808,DNN,32-2,,9.65419E-09,-7.99258E-14,,,
2536800,0.8593921,DNN,32-2,,1.44823E-08,5.32908E-14,,,
2627400,0.86048543,DNN,32-2,,1.20677E-08,-2.66521E-14,,,
2718000,0.8611415,DNN,32-2,,7.24139E-09,-5.32701E-14,,,
2808600,0.8611415,DNN,32-2,,0,-7.9927E-14,,,
2899200,0.8620162,DNN,32-2,,9.65453E-09,1.06562E-13,,,
2989800,0.8620162,DNN,32-2,,0,-1.06562E-13,,,
3080400,0.8631095,DNN,32-2,,1.20673E-08,1.33193E-13,,,
3171000,0.8637656,DNN,32-2,,7.24172E-09,-5.32628E-14,,,
3261600,0.8642029,DNN,32-2,,4.82671E-09,-2.66558E-14,,,
3352200,0.865515,DNN,32-2,,1.44823E-08,1.06574E-13,,,
3442800,0.8657337,DNN,32-2,,2.41391E-09,-1.33206E-13,,,
3533400,0.866171,DNN,32-2,,4.82671E-09,2.66314E-14,,,
3624000,0.8672644,DNN,32-2,,1.20684E-08,7.99307E-14,,,
3714600,0.8672644,DNN,32-2,,0,-1.33206E-13,,,
3805200,0.8666084,DNN,32-2,,-7.24062E-09,-7.99185E-14,,,
3895800,0.8679204,DNN,32-2,,1.44812E-08,2.39756E-13,,,
92000,0.661749,DNN,32-3,,,,,,
184000,0.67671585,DNN,32-3,,1.62683E-07,,,,
276000,0.69296557,DNN,32-3,,1.76627E-07,1.51568E-13,,,
368000,0.70301473,DNN,32-3,,1.0923E-07,-7.3258E-13,,,
460000,0.728886,DNN,32-3,,2.81209E-07,1.86934E-12,,,
552000,0.7568954,DNN,32-3,,3.0445E-07,2.52615E-13,,,
644000,0.7810562,DNN,32-3,,2.62617E-07,-4.54702E-13,,,
736000,0.7926021,DNN,32-3,,1.25499E-07,-1.49042E-12,,,
828000,0.7988027,DNN,32-3,,6.73978E-08,-6.31534E-13,,,
920000,0.8103485,DNN,32-3,,1.25498E-07,6.31522E-13,,,
1012000,0.81676286,DNN,32-3,,6.97213E-08,-6.06267E-13,,,
1104000,0.82125294,DNN,32-3,,4.88052E-08,-2.27349E-13,,,
1196000,0.8259568,DNN,32-3,,5.11289E-08,2.52576E-14,,,
1288000,0.8353645,DNN,32-3,,1.02258E-07,5.55747E-13,,,
1380000,0.8379303,DNN,32-3,,2.78891E-08,-8.08353E-13,,,
1472000,0.8398546,DNN,32-3,,2.09163E-08,-7.57916E-14,,,
1564000,0.8387855,DNN,32-3,,-1.16207E-08,-3.53663E-13,,,
1656000,0.842848,DNN,32-3,,4.41576E-08,6.06285E-13,,,
1748000,0.8443447,DNN,32-3,,1.62685E-08,-3.03143E-13,,,
1840000,0.8464828,DNN,32-3,,2.32402E-08,7.57798E-14,,,
1932000,0.8477657,DNN,32-3,,1.39446E-08,-1.0104E-13,,,
2024000,0.8484071,DNN,32-3,,6.97174E-09,-7.57916E-14,,,
2116000,0.8486209,DNN,32-3,,2.32391E-09,-5.05198E-14,,,
2208000,0.8469104,DNN,32-3,,-1.85924E-08,-2.27351E-13,,,
2300000,0.84904855,DNN,32-3,,2.32408E-08,4.54708E-13,,,
2392000,0.8484071,DNN,32-3,,-6.97228E-09,-3.28403E-13,,,
2484000,0.8520419,DNN,32-3,,3.95087E-08,5.05228E-13,,,
2576000,0.85418004,DNN,32-3,,2.32407E-08,-1.76827E-13,,,
2668000,0.847338,DNN,32-3,,-7.437E-08,-1.06099E-12,,,
2760000,0.84990376,DNN,32-3,,2.78887E-08,1.11151E-12,,,
2852000,0.8503314,DNN,32-3,,4.64826E-09,-2.52613E-13,,,
2944000,0.8488347,DNN,32-3,,-1.62685E-08,-2.27356E-13,,,
3036000,0.85118663,DNN,32-3,,2.55645E-08,4.54706E-13,,,
3128000,0.8488347,DNN,32-3,,-2.55645E-08,-5.55749E-13,,,
90600,0.62584734,DNN,32-4,,,,,,
181200,0.60944676,DNN,32-4,,-1.81022E-07,,,,
271800,0.5031708,DNN,32-4,,-1.17302E-06,-1.09492E-11,,,
362400,0.5619943,DNN,32-4,,6.49266E-07,2.01136E-11,,,
453000,0.58539253,DNN,32-4,,2.58259E-07,-4.31575E-12,,,
543600,0.6286901,DNN,32-4,,4.77898E-07,2.42428E-12,,,
634200,0.65646183,DNN,32-4,,3.06531E-07,-1.89147E-12,,,
724800,0.6724251,DNN,32-4,,1.76195E-07,-1.43859E-12,,,
815400,0.68576425,DNN,32-4,,1.47231E-07,-3.19689E-13,,,
906000,0.7001968,DNN,32-4,,1.593E-07,1.33206E-13,,,
996600,0.71266127,DNN,32-4,,1.37577E-07,-2.39765E-13,,,
1087200,0.72490704,DNN,32-4,,1.35163E-07,-2.66436E-14,,,
1177800,0.7336541,DNN,32-4,,9.65459E-08,-4.26237E-13,,,
1268400,0.74415046,DNN,32-4,,1.15854E-07,2.13112E-13,,,
1359000,0.7574896,DNN,32-4,,1.47231E-07,3.46327E-13,,,
1449600,0.7668926,DNN,32-4,,1.03786E-07,-4.79528E-13,,,
1540200,0.7749836,DNN,32-4,,8.93046E-08,-1.59837E-13,,,
1630800,0.78154385,DNN,32-4,,7.24089E-08,-1.86487E-13,,,
1721400,0.78504264,DNN,32-4,,3.8618E-08,-3.72969E-13,,,
1812000,0.7905095,DNN,32-4,,6.03406E-08,2.39764E-13,,,
1902600,0.7977258,DNN,32-4,,7.96501E-08,2.13129E-13,,,
1993200,0.8012246,DNN,32-4,,3.86181E-08,-4.52892E-13,,,
2083800,0.80363,DNN,32-4,,2.65497E-08,-1.33206E-13,,,
2174400,0.8097529,DNN,32-4,,6.75817E-08,4.52892E-13,,,
2265000,0.81193966,DNN,32-4,,2.41364E-08,-4.79528E-13,,,
2355600,0.81521976,DNN,32-4,,3.62042E-08,1.33198E-13,,,
2446200,0.81981194,DNN,32-4,,5.06863E-08,1.59847E-13,,,
2536800,0.82243603,DNN,32-4,,2.89635E-08,-2.39767E-13,,,
2627400,0.8246228,DNN,32-4,,2.41365E-08,-5.32774E-14,,,
2718000,0.8263722,DNN,32-4,,1.93091E-08,-5.32835E-14,,,
2808600,0.8314017,DNN,32-4,,5.55132E-08,3.99605E-13,,,
2899200,0.8335885,DNN,32-4,,2.41369E-08,-3.46318E-13,,,
2989800,0.8359939,DNN,32-4,,2.65497E-08,2.66314E-14,,,
